Dentist,Method,Alloy,Temp,Response
1,1,1,1500,813
1,1,1,1600,792
1,1,1,1700,792
1,1,2,1500,907
1,1,2,1600,792
1,1,2,1700,835
1,2,1,1500,782
1,2,1,1600,698
1,2,1,1700,665
1,2,2,1500,1115
1,2,2,1600,835
1,2,2,1700,870
1,3,1,1500,752
1,3,1,1600,620
1,3,1,1700,835
1,3,2,1500,847
1,3,2,1600,560
1,3,2,1700,585
2,1,1,1500,715
2,1,1,1600,803
2,1,1,1700,813
2,1,2,1500,858
2,1,2,1600,907
2,1,2,1700,882
2,2,1,1500,772
2,2,1,1600,782
2,2,1,1700,743
2,2,2,1500,933
2,2,2,1600,792
2,2,2,1700,824
2,3,1,1500,835
2,3,1,1600,715
2,3,1,1700,673
2,3,2,1500,698
2,3,2,1600,734
2,3,2,1700,681
3,1,1,1500,743
3,1,1,1600,627
3,1,1,1700,752
3,1,2,1500,858
3,1,2,1600,762
3,1,2,1700,724
3,2,1,1500,813
3,2,1,1600,743
3,2,1,1700,613
3,2,2,1500,824
3,2,2,1600,847
3,2,2,1700,782
3,3,1,1500,743
3,3,1,1600,681
3,3,1,1700,743
3,3,2,1500,715
3,3,2,1600,824
3,3,2,1700,681
4,1,1,1500,792
4,1,1,1600,743
4,1,1,1700,762
4,1,2,1500,894
4,1,2,1600,792
4,1,2,1700,649
4,2,1,1500,690
4,2,1,1600,882
4,2,1,1700,772
4,2,2,1500,813
4,2,2,1600,870
4,2,2,1700,858
4,3,1,1500,493
4,3,1,1600,707
4,3,1,1700,289
4,3,2,1500,715
4,3,2,1600,813
4,3,2,1700,312
5,1,1,1500,707
5,1,1,1600,698
5,1,1,1700,715
5,1,2,1500,772
5,1,2,1600,1048
5,1,2,1700,870
5,2,1,1500,803
5,2,1,1600,665
5,2,1,1700,752
5,2,2,1500,824
5,2,2,1600,933
5,2,2,1700,835
5,3,1,1500,421
5,3,1,1600,483
5,3,1,1700,405
5,3,2,1500,536
5,3,2,1600,405
5,3,2,1700,312
